IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
121.149.20.40,17184,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,487,2.98
59.23.21.147,30012,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,440,2.82
61.81.112.29,18245,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,347,2.72
118.219.227.220,12505,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,296,2.67
218.149.151.5,12230,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,405,2.41
211.248.216.119,30009,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,434,2.27
121.190.128.166,12345,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,353,2.18
175.112.2.137,30060,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,297,2.10
125.142.232.222,30011,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,409,1.95
125.143.17.8,11434,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,428,1.94
111.65.134.21,30003,TRUE,ICN,KR,Asia Pacific,Seoul,17573,SK Broadband Co Ltd,259,1.70
121.140.9.141,27015,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,292,1.69
124.80.55.214,30050,TRUE,ICN,KR,Asia Pacific,Seoul,17849,SK Broadband Co Ltd,250,1.61
175.125.207.253,24181,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,289,1.37
61.79.68.220,12221,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,458,1.31
175.200.131.156,30012,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,330,1.28
146.56.166.32,2053,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,722,1.21
121.168.235.70,33338,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,375,1.19
59.22.136.160,10042,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,399,1.19
146.56.166.32,2083,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,331,1.13
218.157.246.88,12590,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,460,1.08
121.183.7.51,10008,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,457,1.07
203.229.84.193,30001,TRUE,ICN,KR,Asia Pacific,Seoul,38095,SK Broadband Co Ltd,218,0.97
210.91.8.234,30042,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,416,0.79
59.187.242.236,10823,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,912,0.69
59.187.242.236,10041,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,771,0.65
140.238.7.57,9999,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,488,0.64
119.203.175.63,12220,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,452,0.59
59.187.242.236,12363,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,823,0.40
59.187.242.236,12284,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,840,0.40
59.187.242.236,11434,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,858,0.38
59.187.242.236,12419,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,844,0.31
59.187.242.236,18010,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,887,0.31
59.187.242.236,14402,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,811,0.29
59.187.242.236,10200,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,883,0.29
59.187.242.236,10255,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,919,0.29
144.24.80.56,443,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,911,0.29
222.108.18.150,19013,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,382,0.28
59.187.242.236,10043,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,782,0.25
59.187.242.236,12088,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,935,0.20
59.187.242.236,31380,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,857,0.18
59.187.242.236,24442,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,811,0.16
59.187.242.236,10093,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,771,0.14
59.187.242.236,12433,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,807,0.13
59.187.242.236,12152,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,800,0.13
59.187.242.236,30100,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,922,0.11
58.239.203.25,21299,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,286,0.10
119.207.86.66,12209,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,432,0.10
193.123.250.209,2087,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,963,0.10
150.230.254.21,1443,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,414,0.07
144.24.78.162,443,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,514,0.02
13.125.218.78,443,TRUE,ICN,KR,Asia Pacific,Seoul,16509,AMAZON-02,558,0.02
